bangumiId,kind,lang,title,content
1,primary,en-US,遭到流放的转生重骑士凭借游戏知识大开无双,"""The Reincarnated Heavy Knight Who Uses Game Knowledge to Win Big"" follows an ordinary young man who is a hardcore gamer. After being reincarnated into another world as a heavy knight, he is exiled from the royal capital due to misunderstandings and political schemes. Relying on the rich knowledge and tactical skills he learned from countless games in his past life, he roams a world filled with monsters, villains, and conspiracies, overcoming crises with clumsy-looking yet highly reliable heavy-armor combat. He masters map mechanics, monster weaknesses, and item combos while using management and strategic thinking to pave his way forward, growing from a scorned exile into a legendary knight. Blending isekai reincarnation, gaming strategy, and lighthearted humor, the story moves at a brisk pace and offers plenty of entertainment as the protagonist makes cool-headed decisions with charming contrast."
2,primary,en-US,飙马野郎 JOJO的奇妙冒险,"""Steel Ball Run"" is the seventh part of the JoJo's Bizarre Adventure series, set in the American West of 1890. To compete for the legendary Saint's Corpse that can revive the dead, several factions join a transcontinental super horse race. Protagonist Johnny Joestar, a once-brilliant jockey now paralyzed from the waist down, embarks on the journey with the help of the mysterious racer Gyro Zeppeli, getting caught up in the battle over the corpse. Combining horse racing, Stand abilities, western style, mystery, and the series' signature intelligence and passion, the story of Johnny and Gyro supporting each other, growing, and finding redemption on a brutal journey is deeply moving, widely hailed as the peak of the JoJo series."
3,primary,en-US,THE WORLD IS DANCING 世界在起舞,"""THE WORLD IS DANCING"" is an original anime themed around dance, depicting a story of connecting hearts through dance around the world. The work revolves around a group of young people who love dancing, conveying emotions and dreams through dance styles from different regions, breaking through language and cultural barriers so strangers can meet and understand each other through rhythm. With gorgeous visuals, infectious beats, and diverse dance forms, it showcases the charm of dance as a universal language, blending themes of youth, friendship, and self-expression to create a vibrant and imaginative audiovisual experience. Viewers can feel the joy and healing dance brings, as well as the pure radiance of young people chasing what they love."
4,primary,en-US,哆啦A梦,"""Doraemon"" is a household classic sci-fi comedy anime. Doraemon, a cat-shaped robot from the 22nd century, is sent to modern times to help Nobita Nobi, an elementary school student who always gets into trouble. He solves Nobita's problems with various gadgets from his four-dimensional pocket, but often makes things worse, leading to a series of hilarious and heartwarming stories. The work blends themes of friendship, family, and growth into joyful daily life, depicting the childhood of Nobita and his friends Shizuka, Gian, and Suneo, teaching children courage, kindness, and persistence through imaginative gadget adventures. This national anime that has accompanied generations carries countless childhood memories and spreads warmth and positive energy."
5,primary,en-US,她和她的猫 -Everything Flows-,"""She and Her Cat -Everything Flows-"" adapts Shinkai Makoto's early short, told from the perspective of a stray black cat. After being adopted by a girl, the cat observes her loneliness, strength, and hidden softness in her solitary life through a cat's unique viewpoint. The story delicately depicts the silent companionship and understanding between cat and owner, using elegant visuals and poetic narration to present the warmth of interdependence between people and pets in urban life. With a slow, restrained pace, the film conveys deep reflections on loneliness, bonds, healing, and the dignity of life through the cat's eyes watching the changing seasons, scenery outside the window, and daily moments. It is a quiet, timeless healing short suitable for calm viewing amid a busy life."
6,primary,en-US,潮与虎 第二季,"""Ushio and Tora"" Season 2 adapts Fujita Kazuhiro's same-name action manga, following the adventures of boy Ushio Aotsuki and the ancient youkai Tora, who are rivals yet allies. Ushio, who has held his father's beast spear since childhood and possesses the power to repel youkai, teams up with Tora, a powerful youkai sealed by the spear for a thousand years. Bound by fate, they travel together, growing and trusting each other through battles against various youkai and the mastermind behind them. Season 2 pushes toward the final showdown with their archenemy Hakumen no Mono, unraveling a grand conspiracy spanning ancient and modern times. Known for its explosive fights, deep friendship, and family bonds, the growth of Ushio and Tora from adversaries to partners who entrust each other with their lives is highly moving, making this a classic of the youkai battle genre."
7,primary,en-US,宇宙巡警露露子,"""Space Patrol Luluco"" is an original short anime by TRIGGER, telling the hilarious adventures of space patrol officer Luluco. As the daughter of the space patrol chief, Luluco is full of justice yet impulsive and clumsy, constantly causing blunders. While fighting cosmic criminals with her partners, she falls in love with the son of a criminal during a mission, caught between justice and love. The work is known for exaggerated performances, breakneck pacing, and countless homages and gags, skillfully blending passion, absurdity, and a girl's heart into a whimsical, joke-packed, ultra-fast sci-fi comedy that can make viewers laugh within seconds."
8,primary,en-US,迷家,"""Mayoiga"" is an original mystery anime directed by Mizushima Tsutomu. Thirty men and women with diverse personalities, each bearing motives to escape reality, gather at an abandoned village called Nanakimura for a mysterious group event. As the investigation deepens, the village's eerie truth surfaces: a mysterious giant monster, old tales of missing villagers, and everyone's hidden past are revealed amid conflict and suspicion. Centering on collective psychology, utopian illusions, and human darkness, the work excels at oppressive mystery and ensemble characterization, exploring the fear, disguise, and redemption within people who flee reality, making it a chilling psychological suspense story."
9,primary,en-US,影鳄 承,"""Kagewani: Sho"" is the second season of the short horror anime Kagewani, continuing the established worldview. While investigating a series of bizarre disappearances and deaths, the protagonist discovers a mysterious existence called Kagewani silently devouring humans, its origins tied to ancient legends. This season reveals the truth of Kagewani's origins and conspiracies related to the organization behind the incidents. With cold tones, tight pacing, and escalating mysteries, it creates a suffocating horror atmosphere, blending urban legends, scientific investigation, and supernatural elements while constantly dropping hooks within limited runtime, keeping viewers on edge."
10,primary,en-US,JOJO的奇妙冒险 不灭钻石,"""JoJo's Bizarre Adventure: Diamond Is Unbreakable"" is the fourth part of the series, shifting the stage from Egypt to the peaceful Japanese town of Morioh. In 1999, Josuke Higashikata, a member of the Joestar family, returns to his hometown only to get caught up in a series of bizarre incidents caused by Stand users. To track down the Stand-using serial killer Yoshikage Kira, Josuke and his friends Koichi, Okuyasu, and Rohan investigate and battle. While retaining the series' passionate intelligence, this part adds the relaxed atmosphere of town life and absurd humor, featuring a colorful cast of characters with especially ingenious Stand designs and battles, culminating in a classic final showdown."
11,primary,en-US,火星异种 REVENGE,"""Terra Formars: Revenge"" is the second season of the Terra Formars anime. In the year 2599, humanity sends cockroaches to Mars to terraform the planet, only to face a furious counterattack centuries later from violently mutated, superpowerful Martian cockroaches. To reclaim Mars, nations dispatch genetically modified super soldiers in an expedition force to wage brutal battles against the powerful insects. This season further reveals the mystery of Martian evolution and the political conspiracies behind it, throwing Koma Koji and his companions into even more dangerous battlefields where they struggle to survive against all odds. The work is known for its passionate yet cruel battle scenes, desperate atmosphere, and spirit of sacrifice, exploring survival and humanity."
