bangumiId,kind,lang,title,content
1,primary,ja-JP,転生重騎士はゲーム知識で無双する,"""転生重騎士はゲーム知識で無双する"" は、コアゲーマーの普通の青年が異世界に重騎士として転生し、誤解と陰謀によって王都を追放されながらも、前世で培った膨大なゲーム知識と戦術で数々の危機を乗り越える物語。マップ攻略やモンスターの弱点、アイテムコンボを駆使し、経営や戦略的思考で道を切り開く。見た目は鈍重だが頼れる重装戦闘が魅力で、冷徹な判断とコミカルなギャップが痛快な異世界転生作品。"
2,primary,ja-JP,ジョジョの奇妙な冒険 スティール・ボール・ラン,"""ジョジョの奇妙な冒険 スティール・ボール・ラン"" は『ジョジョの奇妙な冒険』シリーズ第7部。1890年のアメリカ西部を舞台に、死者を蘇らせる聖者の遺体を巡り、複数の勢力が大陸横断レースに参加する。下半身不随の元天才騎手ジョニィ・ジョースターが謎の騎手ジャイロ・ツェペリと共にレースに挑み、遺体争奪戦に巻き込まれていく。馬術とスタンド能力、西部劇、ミステリーが融合し、過酷な旅路での二人の成長と救済が感動を呼ぶ、シリーズ最高峰と称される作品。"
3,primary,ja-JP,THE WORLD IS DANCING,"""THE WORLD IS DANCING"" はダンスをテーマにしたオリジナルアニメ。世界中を舞台に、ダンスを通じて心をつなぐ物語が描かれる。ダンスを愛する若者たちが、地域ごとに異なるダンススタイルで感情や夢を伝え、言語や文化の壁を越えて出会い、リズムを通じて互いを理解していく。華やかな映像とノリの良いビート、多様なダンスが魅力で、青春・友情・自己表現をテーマに、躍動感あふれる想像力豊かな作品。"
4,primary,ja-JP,ドラえもん,"""ドラえもん"" は国民的定番のSFコメディアニメ。22世紀から来たネコ型ロボットのドラえもんが、問題児の小学生のび太を助けるため、四次元ポケットのひみつ道具で様々なトラブルを解決するが、しばしば事態を悪化させて笑いを巻き起こす。友情や家族、成長をテーマに、のび太としずか、ジャイアン、スネ夫たちの少年時代を描き、道具を巡る冒険を通して勇気や優しさ、あきらめない心を教えてくれる、多くの世代に愛され続ける名作。"
5,primary,ja-JP,彼女と彼女の猫 -Everything Flows-,"""彼女と彼女の猫 -Everything Flows-"" は新海誠の初期短編をアニメ化した作品。野良猫の視点から、飼い主の少女の孤独や強さ、隠れた優しさを描く。猫の独特な視点で、人間とペットの無言の寄り添いと理解が繊細に描かれ、都会の暮らしの中の温かさが詩的なナレーションで表現される。四季の移ろいや窓の外の景色を見つめる猫の眼差しが、孤独や絆、命の尊さへの深い思いを静かに伝える、時間をかけて味わいたい癒しの短編。"
6,primary,ja-JP,うしおととら,"""うしおととら"" 第2期は、藤田和日郎原作の同名アクションマンガをアニメ化。宿敵でありながら共闘する少年蒼月潮と大妖怪とらの冒険を描く。妖怪を退ける力を持つ潮は、千年間獣の槍に封じられていたとらと出会い、数々の妖怪や黒幕との戦いを通して成長していく。第2期では宿敵ハクメンの章へと突入し、古今に渡る壮大な陰謀が明らかに。爆発的なバトルと深い友情が魅力の妖怪バトル作品の金字塔。"
7,primary,ja-JP,スペースパトロール ルル子,"""スペースパトロール ルル子"" はTRIGGER制作のオリジナル短編アニメ。宇宙パトロール隊員の少女ルル子のドタバタ冒険を描く。正義感に溢れるが猪突猛進でドジなルル子は、宇宙犯罪者との戦いの中で、犯罪者の息子に恋をしてしまい、正義と恋愛の狭間で揺れる。誇張された演出と超高速のテンポ、数々のオマージュとギャグが詰まった、秒単位で笑わせる奇想天外なSFコメディ。"
8,primary,ja-JP,迷家-マヨイガ-,"""迷家-マヨイガ-"" は水島努監督によるオリジナルミステリーアニメ。現実逃避の動機を持つ多様な男女30人が、ナナキ村という廃村に集まり、謎のイベントに参加する。調査が進むにつれ、村の不気味な真実――巨大な謎の怪物、行方不明者の言い伝え、それぞれの過去が浮かび上がる。集団心理とユートピアの幻想、人間の闇を描いた、息詰まるサイコサスペンス作品。"
9,primary,ja-JP,影鰐-KAGEWANI-,"""影鰐-KAGEWANI-"" 第2期は、短編ホラーアニメ『影鰐』の続編。不可解な失踪・死亡事件を調査する中、主人公は静かに人間を喰らう謎の存在・影鰐を発見する。その起源は古代の伝説に繋がっていた。今期は影鰐の正体と事件の背後にある組織の陰謀が明かされる。冷たいトーンと緊迫した展開、都市伝説と科学捜査、オカルト要素が融合した息苦しいホラー作品。"
10,primary,ja-JP,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,"""ジョジョの奇妙な冒険 ダイヤモンドは砕けない"" はシリーズ第4部。舞台はエジプトから平和な日本の町・杜王町へ。1999年、ジョースター家の血を引く東方仗助が故郷に戻り、スタンド使いによる怪事件に巻き込まれる。連続殺人鬼・吉良吉影を追うため、仗助は康一や億泰、露伴らと共に調査と戦闘を繰り広げる。町の日常と奇妙なスタンドバトルが融合した、シリーズ屈指の人気パート。"
